epochs,train_l1_losses,train_l2_losses,train_kl_losses,val_l1_losses,val_l2_losses,val_kl_losses,lr_history
29,0.6504768090112377,1.0000007762893692,2.3258387009829192e-08,0.6507578985641532,1.0007444293370702,6.743346096752947e-09,1.0000000000000017e-32
30,0.6504790244132237,1.0000096900054458,2.0578354796508737e-08,0.6507578985641532,1.0007444293370702,6.59075186523846e-09,1.0000000000000018e-33
31,0.6504753003500396,0.9999953507537829,2.9257871677642063e-08,0.6507578985641532,1.0007444293370702,6.81998523386608e-09,1.0000000000000019e-34
32,0.6504746553278902,0.9999933793887907,2.7512061308416222e-08,0.6507578985641532,1.0007444293370702,7.324111459683363e-09,1.0000000000000019e-35
33,0.6504747173459356,0.9999926395363273,2.77287365272527e-08,0.6507578985641532,1.0007444293370702,7.20466407169373e-09,1.000000000000002e-36
34,0.6504736957856533,0.9999876702763608,2.5162274551720712e-08,0.6507578985641532,1.0007444293370702,6.922497266559174e-09,1.000000000000002e-37
35,0.6504728511022336,0.9999848864640862,2.0974859739281054e-08,0.6507578985641532,1.0007444293370702,8.514933007783314e-09,1.000000000000002e-38
36,0.6504743553948136,0.999993371654114,2.0322848600135562e-08,0.6507578985641532,1.0007444293370702,6.252749728333488e-09,1.000000000000002e-39
37,0.6504782649450754,1.000008027664611,2.533456923988205e-08,0.6507578985641532,1.0007444293370702,6.257976920924532e-09,1.0000000000000022e-40
38,0.6504793455361394,1.000011094722567,2.800910189614714e-08,0.6507578985641532,1.0007444293370702,6.424882124813013e-09,1.0000000000000022e-41
39,0.6504751693550079,0.9999943420112891,2.0904954479342492e-08,0.6507578985641532,1.0007444293370702,6.349997405331593e-09,1.0000000000000023e-42
40,0.6504774477345022,1.000003657837565,2.9305773582290244e-08,0.6507578985641532,1.0007444293370702,6.472844450482706e-09,1.0000000000000023e-43
41,0.6504762979691155,0.9999995144437515,2.8473384267091286e-08,0.6507578985641532,1.0007444293370702,6.889418514219055e-09,1.0000000000000023e-44
42,0.6504761094879692,0.9999978341816023,2.8603234925988716e-08,0.6507578985641532,1.0007444293370702,6.823894989206847e-09,1.0000000000000023e-45
43,0.6504770433878243,1.0000021524426237,2.3136709049498406e-08,0.6507578985641532,1.0007444293370702,6.404608260327965e-09,1.0000000000000024e-46
44,0.6504751553554696,0.999994538147724,2.0178139813503735e-08,0.6507578985641532,1.0007444293370702,6.714477314469644e-09,1.0000000000000024e-47
45,0.6504781299307336,1.0000060955831582,2.038378645619401e-08,0.6507578985641532,1.0007444293370702,6.8967231424408306e-09,1.0000000000000024e-48
46,0.650477685402296,1.000006137463825,2.795510565519241e-08,0.6507578985641532,1.0007444293370702,6.308064813291365e-09,1.0000000000000024e-49
47,0.6504795624563997,1.0000121859765976,1.986335928683867e-08,0.6507578985641532,1.0007444293370702,6.244521081983377e-09,1.0000000000000025e-50
48,0.6504772706648396,1.0000035845600077,4.0812343030403144e-08,0.6507578985641532,1.0007444293370702,7.535108353410509e-09,1.0000000000000025e-51
49,0.650478035345389,1.000006577065659,2.499754870165778e-08,0.6507578985641532,1.0007444293370702,6.232640571142002e-09,1.0000000000000026e-52
50,0.6504741764402487,0.9999897881442984,2.1107779125309818e-08,0.6507578985641532,1.0007444293370702,6.899101366146527e-09,1.0000000000000027e-53
51,0.6504799443362229,1.0000162076955517,2.3866017893797768e-08,0.6507578985641532,1.0007444293370702,8.27396797958837e-09,1.0000000000000028e-54
52,0.6504761286862991,0.9999986670906209,2.9585302054878226e-08,0.6507578985641532,1.0007444293370702,6.790211129355836e-09,1.0000000000000029e-55
53,0.6504757739889884,1.0000003583151436,2.2497920993669076e-08,0.6507578985641532,1.0007444293370702,8.360679378497203e-09,1.000000000000003e-56
54,0.6504758156700506,0.9999984040639746,1.9553466826920093e-08,0.6507578985641532,1.0007444293370702,7.753595008390691e-09,1.000000000000003e-57
55,0.6504766293172287,0.9999991463411797,2.071230640983857e-08,0.6507578985641532,1.0007444293370702,6.702516504810889e-09,1.0000000000000032e-58
56,0.6504758241169528,0.9999981964911053,2.2597871973483747e-08,0.6507578985641532,1.0007444293370702,6.426380129694225e-09,1.0000000000000033e-59
57,0.6504778256381117,1.000004930418733,2.034087654365105e-08,0.6507578985641532,1.0007444293370702,6.844493027695111e-09,1.0000000000000034e-60
58,0.6504781869314461,1.0000081833969994,2.8249319343454224e-08,0.6507578985641532,1.0007444293370702,7.335708751684776e-09,1.0000000000000035e-61
59,0.6504776492375781,1.000005057212996,2.4878806455323945e-08,0.6507578985641532,1.0007444293370702,6.661154348643471e-09,1.0000000000000035e-62
60,0.6504775304547165,1.00000293619675,2.4822171497646945e-08,0.6507578985641532,1.0007444293370702,7.2160477281571844e-09,1.0000000000000036e-63
